device_id,s_num
7095,unspecified
6936,unspecified
6934,Single
6934,Dual
6933,Single
6933,Dual
6979,Single
6979,Dual
6774,unspecified
6773,unspecified
6732,unspecified
6712,Dual
6657,Dual
6656,unspecified
7154,unspecified
7153,unspecified
6655,unspecified
6654,unspecified
6653,unspecified
6619,Single
6619,Dual
6599,unspecified
6516,Single
6516,Dual
6153,Single
6153,Dual
6152,unspecified
6151,unspecified
6139,unspecified
6138,unspecified
6134,unspecified
6130,Single
6130,Dual
6135,unspecified
6131,Single
6131,Dual
6132,unspecified
5937,Dual
5938,Dual
5741,unspecified
5740,unspecified
5693,Single
5693,Dual
5692,Single
5692,Dual
5687,Single
5687,Dual
5691,Single
5691,Dual
5671,unspecified
5672,Single
5672,Dual
5668,unspecified
5669,Dual
5449,unspecified
5681,Single
5681,Dual
5318,Single
5318,Dual
5319,unspecified
5332,Single
5332,Dual
5231,unspecified
5230,Single
5230,Dual
5229,unspecified
5228,unspecified
5242,Single
5242,Dual
5226,unspecified
5218,unspecified
5139,unspecified
5110,Dual
5165,unspecified
5080,unspecified
4663,unspecified
4661,unspecified
4659,unspecified
4528,Dual
12558,Dual
12559,Dual
11773,Dual
11860,Dual
11862,Dual
11861,Dual
11410,unspecified
11089,Dual
11102,Dual
11103,Dual
11104,Dual
10237,Dual
10508,Dual
10509,Dual
10510,Dual
10170,unspecified
9846,Dual
9847,Dual
9848,Dual
9319,Dual
9318,unspecified
9320,Dual
8858,unspecified
8131,unspecified
8573,unspecified
8065,unspecified
8064,unspecified
7969,unspecified
7243,unspecified
7242,unspecified
6665,unspecified
6378,unspecified
5685,unspecified
5690,unspecified
5070,unspecified
5061,unspecified
4910,unspecified
4212,unspecified
3275,unspecified
3716,unspecified
12380,Dual
11656,Dual
10892,Dual
10893,Dual
10393,Dual
10379,Dual
10296,Dual
10328,Dual
9770,Dual
9698,Dual
9634,Dual
9633,Dual
9410,Dual
9373,Dual
9372,Dual
9224,Dual
9194,Dual
9173,Dual
9096,Dual
9061,Dual
9068,Dual
9097,Dual
8953,Dual
8866,Dual
8783,Dual
8782,Dual
8892,Dual
8862,Dual
8808,Dual
8784,Dual
8811,Dual
8814,Dual
8810,Dual
8749,Dual
8801,unspecified
8681,Dual
8579,Dual
8550,Dual
8502,Dual
8509,Dual
8503,Dual
8493,unspecified
8467,Dual
8425,Dual
8384,Dual
8218,unspecified
8207,Dual
8206,Dual
8197,Dual
8156,Dual
8130,Dual
8129,Dual
8106,Dual
8111,Dual
8262,Dual
8097,Dual
8095,Dual
8045,Dual
8048,Dual
7866,Dual
7733,Dual
7577,unspecified
7368,Dual
7476,Dual
7475,Dual
7479,Dual
7757,Dual
7477,Dual
7478,Dual
7474,Dual
7473,unspecified
7444,unspecified
7378,Dual
7255,unspecified
7256,unspecified
7261,Dual
7044,unspecified
7120,Dual
6917,Dual
7045,unspecified
6982,Dual
6953,Dual
6918,Dual
6897,Dual
6737,unspecified
6630,unspecified
6629,unspecified
6429,Single
6429,Dual
6428,Single
6428,Dual
6414,unspecified
6413,unspecified
6412,unspecified
6394,Single
6394,Dual
6519,unspecified
6238,unspecified
6120,unspecified
6853,Dual
5953,Dual
7160,Dual
5952,Dual
5891,Dual
5706,unspecified
5675,unspecified
5674,unspecified
5494,unspecified
5329,unspecified
5328,unspecified
5249,unspecified
5091,unspecified
5017,unspecified
4850,unspecified
4422,unspecified
3965,unspecified
12603,Dual
12459,Dual
12458,Dual
12457,Dual
12456,Dual
12153,Dual
12102,Dual
11830,Dual
11829,Dual
11828,Dual
11757,Dual
11716,Dual
11715,Dual
11673,Dual
11672,Dual
11643,Dual
11509,Dual
11368,unspecified
11348,Dual
11319,Dual
11318,Dual
11258,unspecified
11096,unspecified
11095,Dual
11094,Dual
11073,Dual
10934,Dual
10935,Dual
10781,Dual
10745,Dual
10741,Dual
10730,Dual
10729,Dual
10731,Dual
10732,Dual
10607,Dual
10535,Dual
10537,Dual
10538,Dual
10540,Dual
10539,Dual
10470,Dual
10453,Dual
10403,Dual
10359,Dual
10313,Dual
10312,Dual
10160,Dual
10107,Dual
10106,Dual
10105,Dual
10047,Dual
10046,Dual
10045,Dual
9967,Dual
9930,Dual
9929,Dual
9855,Dual
9877,Dual
9876,Dual
9718,Dual
9597,Dual
9542,Dual
9482,Dual
9470,Dual
9360,Dual
9325,Dual
9314,Dual
9307,Dual
9302,Dual
9301,Dual
9277,Dual
9254,Dual
9253,Dual
9223,Dual
9184,Dual
9165,Dual
9154,Dual
9146,Dual
9131,Dual
9072,Dual
9064,Dual
9063,Dual
9007,Dual
8835,Dual
8621,Dual
7892,Dual
7558,Dual
7523,Dual
6928,Dual
6927,Dual
6925,Dual
6924,unspecified
6900,Dual
6899,unspecified
6838,unspecified
6835,Dual
6669,Dual
6565,Dual
6567,Dual
6406,unspecified
6405,Dual
6346,unspecified
6330,Dual
6277,Dual
6276,Dual
6244,Dual
6243,Dual
6242,Dual
6041,unspecified
5986,unspecified
5957,unspecified
5956,Dual
5955,Dual
5954,Dual
5935,Dual
5920,unspecified
5909,Dual
5908,Dual
5873,unspecified
5761,Dual
5661,Dual
5660,Dual
5662,Dual
5593,Dual
5489,Dual
5458,Dual
5459,Dual
5460,Dual
5411,Dual
5360,Dual
5358,Dual
5359,Dual
5295,Dual
5282,unspecified
5281,unspecified
5209,Dual
5208,Dual
5206,Dual
5205,unspecified
5202,unspecified
5201,unspecified
5023,Dual
4947,Dual
4946,Dual
4901,Dual
4370,Dual
4224,unspecified
3548,unspecified
12454,Dual
12269,Dual
12522,Dual
12523,Dual
11948,Dual
11642,Dual
10790,Dual
10681,Dual
10529,Dual
10594,Dual
10357,Dual
10593,Dual
10592,Dual
10595,Dual
10297,Dual
9965,Dual
9924,Dual
9797,Dual
9735,Dual
9734,Dual
9487,Dual
9179,Single
9179,Dual
9119,Single
9119,Dual
9102,Dual
9071,Single
9071,Dual
8990,Dual
8908,Single
8908,Dual
8885,Single
8885,Dual
8630,Single
8630,Dual
8519,Dual
8518,Dual
8404,unspecified
8444,Single
8444,Dual
8277,Dual
8884,Dual
8297,unspecified
8276,Dual
8633,Dual
8128,Dual
8086,unspecified
8066,Dual
8072,unspecified
8031,unspecified
7884,unspecified
7942,Single
7942,Dual
7941,Dual
7940,unspecified
8348,unspecified
7836,Dual
7758,unspecified
7731,Dual
7753,Dual
7627,Dual
7592,unspecified
7591,unspecified
7576,unspecified
7418,unspecified
7419,unspecified
7275,Dual
7267,Dual
7194,Dual
6977,unspecified
7165,unspecified
7111,Dual
7310,Dual
6891,unspecified
7115,Dual
7183,Dual
6968,Single
6968,Dual
6947,Dual
6921,Dual
6913,unspecified
6841,Dual
6830,Single
6830,Dual
6736,Dual
6713,unspecified
6715,unspecified
6719,unspecified
6854,Dual
6637,Dual
6636,unspecified
6621,unspecified
6608,unspecified
6589,unspecified
6588,unspecified
6581,unspecified
6528,unspecified
6483,Dual
6463,Dual
6397,Single
6397,Dual
6345,unspecified
6234,Dual
6316,Dual
6233,unspecified
6074,unspecified
6009,unspecified
6487,Dual
6073,unspecified
6160,unspecified
5907,Dual
6552,Dual
5870,Dual
5871,Dual
5704,unspecified
5666,unspecified
5667,unspecified
5623,Single
5623,Dual
5505,unspecified
5547,unspecified
5537,unspecified
5536,unspecified
5465,Dual
5395,unspecified
5498,Dual
5313,unspecified
5261,Dual
5118,unspecified
5113,unspecified
5106,unspecified
5105,unspecified
5100,Dual
5016,unspecified
4976,unspecified
5104,unspecified
4975,unspecified
5000,unspecified
4980,unspecified
4979,unspecified
4951,Single
4951,Dual
4830,unspecified
5861,Dual
4829,Dual
4805,Dual
4759,unspecified
4997,unspecified
4744,unspecified
4665,unspecified
4977,unspecified
4320,unspecified
4614,unspecified
4572,unspecified
4836,unspecified
4574,unspecified
4575,unspecified
4525,unspecified
4435,unspecified
4099,unspecified
4302,unspecified
4202,unspecified
4161,unspecified
4102,unspecified
4097,unspecified
3958,unspecified
4132,unspecified
4285,unspecified
4196,unspecified
4164,unspecified
4027,unspecified
4131,unspecified
4070,unspecified
4022,unspecified
3964,unspecified
3938,unspecified
3922,unspecified
3901,unspecified
3875,unspecified
3895,unspecified
3887,unspecified
3739,unspecified
3788,unspecified
3776,unspecified
3777,unspecified
3786,unspecified
3787,unspecified
3829,unspecified
3953,unspecified
3896,unspecified
3706,unspecified
3703,unspecified
3702,unspecified
3585,unspecified
3338,unspecified
3576,unspecified
3557,unspecified
3530,unspecified
3118,unspecified
3556,unspecified
3468,unspecified
3421,unspecified
5058,unspecified
3392,unspecified
3577,unspecified
3337,unspecified
3163,unspecified
3077,unspecified
3141,unspecified
3069,unspecified
3427,unspecified
12720,Dual
12648,Dual
12585,Dual
12530,Dual
12259,Single
12259,Dual
12020,Dual
11918,Single
11918,Dual
11858,Single
11858,Dual
11856,Single
11856,Dual
11641,Single
11641,Dual
11489,Single
11489,Dual
11247,Dual
11328,Single
11328,Dual
11177,Dual
11120,Dual
11121,Single
11121,Dual
11048,Single
11048,Dual
11030,Dual
10755,Dual
10642,Dual
10645,Dual
10652,Dual
10579,Dual
10551,Single
10551,Dual
10550,Single
10550,Dual
10555,Dual
10519,Dual
10546,Dual
10475,Dual
10429,Dual
10417,Dual
10418,Dual
10299,Dual
10252,Dual
10292,Dual
10249,Dual
10236,Dual
10219,Single
10219,Dual
10231,unspecified
10227,Single
10227,Dual
10222,Single
10222,Dual
10223,Single
10223,Dual
10212,Dual
10203,Dual
10204,Single
10204,Dual
10205,Dual
11010,Dual
10153,Dual
10112,Dual
10073,Dual
10074,Dual
10012,Dual
9799,Dual
9956,Dual
9922,Dual
9933,Dual
9905,Dual
9887,Dual
9880,Dual
9885,Single
9885,Dual
9881,Dual
9886,Single
9886,Dual
9765,Dual
9830,Dual
9803,Dual
9823,unspecified
9747,unspecified
9746,Dual
9728,Dual
9742,Single
9742,Dual
9694,Single
9694,Dual
9705,Dual
9635,Single
9635,Dual
9530,Single
9530,Dual
9545,Single
9545,Dual
9627,Dual
9675,Single
9675,Dual
9645,Dual
9644,Dual
9643,Dual
9668,unspecified
9576,Dual
9620,Dual
9625,Dual
9531,Dual
9500,Dual
9501,Single
9501,Dual
9409,Dual
9466,Dual
9368,Single
9368,Dual
9369,Dual
9343,Single
9343,Dual
9367,Single
9367,Dual
9324,Single
9324,Dual
9284,Single
9284,Dual
9272,Dual
9632,Dual
9267,Single
9267,Dual
9209,Single
9209,Dual
9196,Single
9196,Dual
9502,Dual
9162,Dual
9141,Dual
9106,Single
9106,Dual
9107,Single
9107,Dual
9098,Single
9098,Dual
9188,Dual
9114,Dual
9265,Single
9265,Dual
9112,Dual
9092,unspecified
8961,Single
8961,Dual
8943,Dual
8899,Dual
8854,Single
8854,Dual
8877,Single
8877,Dual
8857,Single
8857,Dual
8833,Dual
8632,Dual
8715,unspecified
8637,unspecified
8703,Single
8703,Dual
8672,Single
8672,Dual
8663,Single
8663,Dual
8578,unspecified
8635,unspecified
8687,Single
8687,Dual
8695,Single
8695,Dual
8640,Dual
8686,Dual
8515,Single
8515,Dual
8514,Single
8514,Dual
8598,Single
8598,Dual
8516,Dual
8458,Dual
8396,Single
8396,Dual
8415,Dual
8073,Single
8073,Dual
8402,Dual
8315,unspecified
8312,Single
8312,Dual
8284,Single
8284,Dual
8302,Dual
8301,unspecified
8285,Dual
8138,unspecified
8084,Dual
8037,Dual
8036,Dual
7983,Dual
7745,Single
7745,Dual
7972,Single
7972,Dual
7793,Dual
7239,Dual
7744,Dual
7647,Dual
7588,unspecified
7533,Single
7533,Dual
7440,Dual
7309,unspecified
7829,Single
7829,Dual
7206,Dual
7279,Dual
7201,Dual
7200,Dual
7006,Dual
7187,unspecified
7075,Dual
7076,Single
7076,Dual
7077,Dual
6909,unspecified
6908,Single
6908,Dual
6896,Dual
6869,Dual
7308,unspecified
6705,unspecified
6677,unspecified
6676,unspecified
6646,unspecified
6543,Dual
6678,unspecified
6499,unspecified
6493,unspecified
6124,Single
6124,Dual
6332,unspecified
6290,Dual
6278,unspecified
6168,unspecified
6136,unspecified
6137,unspecified
6129,unspecified
6103,unspecified
5981,unspecified
5979,Dual
5949,unspecified
5936,unspecified
5921,unspecified
5840,unspecified
5910,Dual
5485,unspecified
5633,Dual
5699,Dual
5632,Dual
5698,unspecified
5539,unspecified
5467,Single
5467,Dual
5386,unspecified
5382,unspecified
5365,Dual
5267,unspecified
5257,unspecified
5327,unspecified
5648,unspecified
5439,unspecified
5065,unspecified
5237,unspecified
5164,unspecified
5250,Single
5250,Dual
5141,Dual
5112,unspecified
5077,unspecified
5068,unspecified
5022,unspecified
5020,unspecified
4963,unspecified
4966,unspecified
4882,unspecified
4839,unspecified
4838,unspecified
5383,Dual
4594,unspecified
4410,unspecified
5002,unspecified
4570,unspecified
4569,unspecified
4568,unspecified
4409,unspecified
4381,unspecified
4264,unspecified
4265,unspecified
4260,Dual
4234,unspecified
4109,unspecified
4057,unspecified
4226,unspecified
4204,unspecified
3789,unspecified
3595,unspecified
3596,unspecified
3840,unspecified
3513,unspecified
3451,unspecified
11924,Dual
11822,Dual
11498,Dual
11473,Dual
12476,unspecified
12052,unspecified
12521,unspecified
11747,Dual
11394,unspecified
12008,Single
12008,Dual
10972,Dual
10992,unspecified
10970,Dual
10630,Dual
10733,unspecified
10406,unspecified
10329,Dual
9821,Dual
9822,Dual
9826,unspecified
9825,unspecified
9824,unspecified
9757,Dual
9754,Dual
9711,Dual
9671,Dual
9655,Dual
9609,Dual
9490,Dual
9436,Dual
9489,Dual
9349,Dual
9375,Dual
9374,Dual
9371,Dual
9222,Dual
9226,Dual
9225,Dual
9144,Dual
9143,Dual
9116,Dual
8973,Dual
8942,unspecified
8941,unspecified
8834,Dual
8850,Dual
8794,Dual
8603,Single
8603,Dual
8602,Dual
8559,unspecified
8423,Dual
8376,Dual
8375,Dual
8506,Single
8506,Dual
8320,Dual
8319,Single
8319,Dual
8318,Single
8318,Dual
8317,Single
8317,Dual
8316,Single
8316,Dual
8208,Dual
8193,Dual
8147,Dual
8146,Dual
8145,Dual
8125,Dual
8101,Dual
8038,Dual
7952,unspecified
7951,unspecified
7947,Dual
7946,Dual
7939,Dual
7918,Dual
7878,Dual
7865,Dual
7850,Dual
7802,Dual
7755,Dual
7742,Dual
7605,Dual
8142,Dual
7557,Dual
7539,Dual
7711,Dual
7552,Single
7552,Dual
7540,Dual
7354,Dual
7511,Dual
7507,Dual
8043,Dual
7233,Dual
7214,Dual
7197,Dual
7192,Dual
7147,Dual
7046,Dual
7886,Dual
7088,Dual
7167,Dual
7090,Dual
7063,Dual
6956,unspecified
8185,unspecified
6955,unspecified
6938,Dual
6920,unspecified
6919,Dual
6848,Dual
6842,Dual
6855,Dual
6789,Dual
6788,Dual
6787,Dual
6739,Dual
6746,unspecified
6730,unspecified
6681,unspecified
6643,Single
6643,Dual
6642,Dual
6595,Dual
6396,Dual
6529,unspecified
6293,Dual
6370,Dual
6673,Dual
6369,Dual
6368,Dual
6296,Dual
6674,Dual
6283,Dual
6281,unspecified
6280,unspecified
6279,unspecified
6159,Dual
6158,Dual
6157,Dual
6047,Dual
5934,Dual
5894,Dual
5893,Dual
5843,unspecified
5830,Dual
5851,Dual
5684,unspecified
5683,unspecified
5689,Dual
5612,Dual
5544,Dual
5486,Dual
5450,Dual
5850,Dual
5385,Dual
5353,Single
5353,Dual
5352,unspecified
5241,unspecified
5244,Dual
5247,Single
5247,Dual
5463,Dual
5462,Dual
5245,Dual
5333,Dual
5246,Dual
5243,Dual
5140,Dual
5095,Dual
5094,Dual
5060,Dual
4985,unspecified
4956,unspecified
4911,Dual
4424,unspecified
4445,unspecified
10742,Dual
10743,Dual
10744,Dual
10585,Dual
10586,Dual
10564,Dual
10464,Dual
10558,Dual
10463,Dual
10459,Dual
10597,Dual
10368,Dual
10451,unspecified
10382,Dual
10090,Dual
10088,Single
10088,Dual
10087,Single
10087,Dual
10086,Single
10086,Dual
9906,Single
9906,Dual
9844,Single
9844,Dual
9827,Single
9827,Dual
9828,Dual
9805,Single
9805,Dual
9804,Single
9804,Dual
9753,Dual
9752,Single
9752,Dual
9751,Single
9751,Dual
9758,unspecified
9607,Single
9607,Dual
9540,Single
9540,Dual
9585,Single
9585,Dual
9586,Single
9586,Dual
9587,Single
9587,Dual
9411,Single
9411,Dual
9300,Single
9300,Dual
9544,unspecified
9309,Dual
9305,Single
9305,Dual
9304,Single
9304,Dual
9285,Single
9285,Dual
9278,Single
9278,Dual
9251,unspecified
9228,Single
9228,Dual
9191,unspecified
9206,Single
9206,Dual
9115,Single
9115,Dual
9090,Single
9090,Dual
9122,unspecified
10072,unspecified
9190,unspecified
9074,Single
9074,Dual
9073,Single
9073,Dual
9047,unspecified
9006,Dual
8712,Single
8712,Dual
8781,Single
8781,Dual
8756,Single
8756,Dual
8780,unspecified
8696,unspecified
8466,Single
8466,Dual
8584,Single
8584,Dual
8694,unspecified
8492,Single
8492,Dual
8679,unspecified
8678,unspecified
8491,Single
8491,Dual
8490,Single
8490,Dual
8817,Single
8817,Dual
8489,Single
8489,Dual
8488,Single
8488,Dual
8238,Single
8238,Dual
8184,unspecified
8183,unspecified
8159,unspecified
8158,Single
8158,Dual
8081,unspecified
8133,Single
8133,Dual
8132,Single
8132,Dual
8079,Single
8079,Dual
8085,unspecified
7980,Single
7980,Dual
8269,Single
8269,Dual
8056,Single
8056,Dual
7815,Single
7815,Dual
7977,Dual
7976,Single
7976,Dual
7927,Single
7927,Dual
7926,Single
7926,Dual
7849,Single
7849,Dual
7848,Single
7848,Dual
7883,Single
7883,Dual
7773,Single
7773,Dual
7675,unspecified
7606,Single
7606,Dual
7556,unspecified
7575,unspecified
7496,unspecified
7451,unspecified
7442,unspecified
7437,Single
7437,Dual
7363,Single
7363,Dual
7250,unspecified
7253,Dual
7245,unspecified
7212,Dual
7148,unspecified
7051,Dual
7052,Single
7052,Dual
7053,Single
7053,Dual
7054,unspecified
6916,unspecified
6812,unspecified
6776,Dual
6764,Dual
6750,unspecified
6709,Single
6709,Dual
6606,unspecified
6555,Dual
6593,Single
6593,Dual
6592,Single
6592,Dual
6575,unspecified
6569,unspecified
6562,unspecified
6554,unspecified
6546,unspecified
6545,unspecified
6520,unspecified
6475,unspecified
6315,unspecified
6572,unspecified
6294,unspecified
6357,unspecified
6353,unspecified
6352,unspecified
7038,unspecified
6326,unspecified
6307,Dual
6173,unspecified
6133,unspecified
6118,unspecified
6117,unspecified
6077,Single
6077,Dual
6171,Dual
6100,unspecified
6285,unspecified
6101,Dual
6286,unspecified
6102,Single
6102,Dual
6052,unspecified
6032,unspecified
5998,unspecified
5901,unspecified
5705,unspecified
5806,unspecified
5772,unspecified
5736,Dual
5750,Dual
5673,unspecified
5543,unspecified
5650,unspecified
5649,unspecified
5602,unspecified
5488,Dual
5487,unspecified
5554,unspecified
5509,unspecified
5390,unspecified
5315,unspecified
5722,unspecified
5316,unspecified
5254,unspecified
5372,Dual
5275,unspecified
5373,Dual
5293,unspecified
5389,Dual
5292,unspecified
5608,unspecified
5048,unspecified
5078,unspecified
5032,unspecified
5025,unspecified
5062,unspecified
4751,unspecified
4941,unspecified
5005,unspecified
4982,unspecified
4981,unspecified
4964,Dual
4955,unspecified
4948,unspecified
4932,unspecified
4835,Dual
4749,unspecified
4739,unspecified
4717,unspecified
4653,unspecified
4649,unspecified
4563,unspecified
4562,unspecified
4545,unspecified
4565,unspecified
4571,unspecified
4554,unspecified
4461,unspecified
4430,unspecified
4416,unspecified
4377,unspecified
4064,unspecified
4329,unspecified
4353,unspecified
4257,unspecified
4213,unspecified
4188,unspecified
4201,unspecified
4140,unspecified
4157,unspecified
4067,unspecified
4309,Dual
4043,unspecified
4289,unspecified
4287,unspecified
4037,unspecified
4040,unspecified
3886,unspecified
3759,unspecified
3704,unspecified
3762,unspecified
3598,unspecified
3731,unspecified
3558,unspecified
3532,unspecified
3516,unspecified
3081,unspecified
12471,unspecified
12381,Single
12381,Dual
12321,Single
12244,Single
12244,Dual
12184,Dual
12139,Single
12139,Dual
